Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State
2020,13.7,14.4,12.2,9.9,7.1,5.6,5.5,5.9,8.1,9,11.9,11.2,Victoria
2020,16.7,19.9,17.2,13.5,9.2,11.1,8.6,7.9,10.1,11.6,12.5,16.4,Western Australia
2020,16.3,16.3,15,12.7,9.1,6.8,5.6,7.7,11,11.8,14.5,14.7,South Australia
2020,23.1,22.3,20.1,17.9,13.8,12.5,11.5,11.4,14.9,17,19,22.2,Queensland
2020,26,26.8,25.4,25.1,22.4,21.1,19.2,21,23.7,25.3,25.8,25,Northern Territory
2020,13.8,12.1,10.9,10.4,7.5,5.7,4.6,5.5,7.3,8.2,11.8,11.2,Tasmania
2021,12.3,12.8,9.9,3.7,2.6,2,1,0.8,3.6,5.5,9.4,11.3,Australian Captial Territory
2021,19.7,19.9,18.8,15.8,13.8,11.2,10.6,11.4,13,15,16.6,18.6,New South Wales
2021,13.7,13,12,10,7.3,6.4,5.4,6.4,7.3,8.1,10,11.7,Victoria
2021,18.6,17.2,16.9,13.4,11.5,7.1,10.2,9.2,8.8,9.7,13.1,16.7,Western Australia
2021,16.6,16,14.3,11.4,9.9,9.2,8.1,8.4,9.5,10.4,13.1,14.5,South Australia
2021,21.3,21.5,20.6,16.4,13.9,11.5,11.2,12,13.7,17.3,19.1,20.3,Queensland
2021,25.1,25,25.1,24.1,22,21.1,20.6,21.5,24,26.6,25.8,25.8,Northern Territory
2021,12.7,12.9,11.8,10.1,7.6,6.8,5.6,6.5,6.9,8.8,9.3,11.4,Tasmania
2022,14.8,12.4,12.6,8.5,4.4,0.4,0.1,2.6,4.4,8.4,7.7,8.6,Australian Captial Territory
2022,21.4,19.9,19.4,17,14.2,10.9,11,11.9,13.4,15.7,15.9,17.2,New South Wales
2022,16.4,13.8,14.1,11.1,7.8,6.5,4.4,6.8,7.1,9.1,9.7,11.6,Victoria
2022,18.7,18.6,17.8,13.9,10,9.1,9.3,7.7,9.3,8.8,12,15.9,Western Australia
2022,18.8,16.6,15.8,14.3,10.4,9.6,6.7,9.1,8.9,12.4,13.2,14.9,South Australia
2022,21.7,20.5,20.2,18,17,10.5,10.5,10.9,14.1,16.7,17.4,18.9,Queensland
2022,25.3,24.4,25.7,25.2,24,21.6,17,20.8,24.8,26.1,25.6,25.4,Northern Territory
2022,14.3,13.4,12.7,10.3,7.1,5.8,4.7,6.1,6.9,8.7,9.3,11.2,Tasmania
2023,12.8,12.3,11.5,5.9,0.8,2.5,-0.2,1.3,2.3,5.1,10.5,12.7,Australian Captial Territory
2023,19.9,20.6,20.5,16.4,12.1,11.6,11.1,12.2,13.8,15.5,18.1,19.7,New South Wales
2023,15,13.7,12.9,10.4,7.4,7.3,7,6.5,7.8,8.7,12.4,13.1,Victoria
2023,18,17.4,16.3,11.9,10.1,7.1,9.1,8,11.1,12.1,16.4,17.2,Western Australia
2023,16.9,16.4,15.1,12.5,9.8,10.5,7.6,8.5,9.7,10.7,12.2,15,South Australia
2023,20.9,21.5,21.5,16.9,11.6,11.3,11.5,12.7,14.4,16.8,18.9,21.9,Queensland
2023,25.6,25.5,24.9,24.4,20.7,21.6,20.4,20.8,22.4,25.4,26,26.5,Northern Territory
2023,14.2,13.2,11.6,10.1,7.1,6.2,7.7,6.3,7.4,8.2,10.5,11.8,Tasmania
