Year,Month,Temperature,State
2014,April,19.7,Australian Capital Territory
2015,April,26.1,Queensland
2015,April,16.7,Tasmania
2015,April,19.4,Victoria
2015,April,21.2,New South Wales
2015,April,33.2,Northern Territory
2015,April,25.7,Western Australia
2015,April,20.1,South Australia
2015,April,19.4,Australian Capital Territory
2016,April,28.8,Queensland
2016,April,20.4,Tasmania
2016,April,22.7,Victoria
2016,April,23.2,New South Wales
2016,April,34.5,Northern Territory
2016,April,25,Western Australia
2016,April,23.8,South Australia
2016,April,23.9,Australian Capital Territory
2017,April,26.2,Queensland
2017,April,19.2,Tasmania
2017,April,20.6,Victoria
2017,April,22.2,New South Wales
2017,April,32,Northern Territory
2017,April,27.5,Western Australia
2017,April,22.8,South Australia
2017,April,19.9,Australian Capital Territory
2018,April,27.8,Queensland
2018,April,18.8,Tasmania
2018,April,22.9,Victoria
2018,April,24,New South Wales
2018,April,33.8,Northern Territory
2018,April,26.5,Western Australia
2018,April,25.3,South Australia
2018,April,25,Australian Capital Territory
2019,April,26.9,Queensland
2019,April,19.6,Tasmania
2019,April,22.6,Victoria
2019,April,23.1,New South Wales
2019,April,33.1,Northern Territory
2019,April,26,Western Australia
2019,April,24,South Australia
2019,April,22.6,Australian Capital Territory
2020,April,28.7,Queensland
2020,April,17.3,Tasmania
2020,April,18.8,Victoria
2020,April,23,New South Wales
2020,April,33.7,Northern Territory
2020,April,26.9,Western Australia
2020,April,21.1,South Australia
2020,April,18.9,Australian Capital Territory
2021,April,26.3,Queensland
2021,April,18.5,Tasmania
2021,April,20.6,Victoria
2021,April,22.4,New South Wales
2021,April,33,Northern Territory
2021,April,27.3,Western Australia
2021,April,22.5,South Australia
2021,April,20.8,Australian Capital Territory
2022,April,27,Queensland
2022,April,19,Tasmania
2022,April,20.7,Victoria
2022,April,22.6,New South Wales
2022,April,33.9,Northern Territory
2022,April,26,Western Australia
2022,April,23.4,South Australia
2022,April,20,Australian Capital Territory
2023,April,27.3,Queensland
2023,April,19,Tasmania
2023,April,20.3,Victoria
2023,April,21.6,New South Wales
2023,April,32.7,Northern Territory
2023,April,24,Western Australia
2023,April,21.8,South Australia
2023,April,19.6,Australian Capital Territory
2010,May,23.8,Queensland
2010,May,15.6,Tasmania
2010,May,17.3,Victoria
2010,May,20.2,New South Wales
2010,May,32.3,Northern Territory
2010,May,22.2,Western Australia
2010,May,19.4,South Australia
2010,May,16.6,Australian Capital Territory
2011,May,23.4,Queensland
2011,May,14.9,Tasmania
2011,May,15.2,Victoria
2011,May,18.4,New South Wales
2011,May,30.8,Northern Territory
2011,May,23.6,Western Australia
2011,May,17.9,South Australia
2011,May,15.8,Australian Capital Territory
2012,May,24,Queensland
2012,May,15.4,Tasmania
2012,May,15.7,Victoria
2012,May,19.3,New South Wales
2012,May,31.1,Northern Territory
2012,May,23,Western Australia
2012,May,18,South Australia
2012,May,15.6,Australian Capital Territory
2013,May,23.3,Queensland
2013,May,16,Tasmania
2013,May,17.7,Victoria
2013,May,19.8,New South Wales
2013,May,32.7,Northern Territory
2013,May,21.7,Western Australia
2013,May,20.6,South Australia
2013,May,17.4,Australian Capital Territory
2014,May,25.1,Queensland
2014,May,15.6,Tasmania
2014,May,18.4,Victoria
2014,May,21.5,New South Wales
2014,May,32.7,Northern Territory
2014,May,21.3,Western Australia
2014,May,20.4,South Australia
2014,May,17.6,Australian Capital Territory
2015,May,24.5,Queensland
2015,May,14.6,Tasmania
2015,May,16.9,Victoria
2015,May,19.5,New South Wales
2015,May,32.6,Northern Territory
2015,May,21.4,Western Australia
